n,m,p,it,diff,ns
8,9,0.6,50,0,1700759
8,9,0.6,50,0,1678480
8,9,0.6,50,0,1557865
8,9,0.6,50,0,1606685
8,10,0.6,50,0,3223007
8,10,0.6,50,0,3203451
8,10,0.6,50,0,3183756
8,10,0.6,50,0,3184664
8,10,0.6,50,0,3194791
8,10,0.6,50,0,3183476
8,10,0.6,50,0,3199261
8,10,0.6,50,0,3187039
8,10,0.6,50,0,3194790
8,10,0.6,50,0,3200937
8,11,0.6,50,0,4165226
8,11,0.6,50,0,4014231
8,11,0.6,50,0,4067589
8,11,0.6,50,0,4078345
8,11,0.6,50,0,3991882
8,11,0.6,50,0,4088122
8,11,0.6,50,0,4144833
8,11,0.6,50,0,4075272
8,11,0.6,50,0,4015348
8,11,0.6,50,0,4085469
8,12,0.6,50,0,2101994
8,12,0.6,50,0,2067912
8,12,0.6,50,0,2046680
8,12,0.6,50,0,2040255
8,12,0.6,50,0,2067633
8,12,0.6,50,0,2009315
8,12,0.6,50,0,2044865
8,12,0.6,50,0,2041302
8,12,0.6,50,0,2094522
8,12,0.6,50,0,2052827
8,13,0.6,50,0,3617117
8,13,0.6,50,0,3474363
8,13,0.6,50,0,3502160
8,13,0.6,50,0,3497271
8,13,0.6,50,0,3475131
8,13,0.6,50,0,3497131
8,13,0.6,50,0,3497759
8,13,0.6,50,0,3468636
8,13,0.6,50,0,3506140
8,13,0.6,50,0,3492242
8,14,0.6,50,0,3206454
8,14,0.6,50,0,3200518
8,14,0.6,50,0,3197514
8,14,0.6,50,0,3176353
8,14,0.6,50,0,3193463
8,14,0.6,50,0,3213718
8,14,0.6,50,0,3187946
8,14,0.6,50,0,3189134
8,14,0.6,50,0,3183826
8,14,0.6,50,0,3204079
9,0,0.6,50,0,389920
9,0,0.6,50,0,323921
9,0,0.6,50,0,328391
9,0,0.6,50,0,327482
9,0,0.6,50,0,328740
9,0,0.6,50,0,336842
9,0,0.6,50,0,329648
9,0,0.6,50,0,328531
9,0,0.6,50,0,327832
9,0,0.6,50,0,327623
9,1,0.6,50,0,418485
9,1,0.6,50,0,353812
9,1,0.6,50,0,353463
9,1,0.6,50,0,351718
9,1,0.6,50,0,348435
9,1,0.6,50,0,349832
9,1,0.6,50,0,354022
9,1,0.6,50,0,359680
9,1,0.6,50,0,352555
9,1,0.6,50,0,346339
9,2,0.6,50,0,405984
9,2,0.6,50,0,358492
9,2,0.6,50,0,362124
9,2,0.6,50,0,361984
9,2,0.6,50,0,361774
9,2,0.6,50,0,362542
9,2,0.6,50,0,358422
9,2,0.6,50,0,358632
9,2,0.6,50,0,367432
9,2,0.6,50,0,362473
9,3,0.6,50,0,656222
9,3,0.6,50,0,526738
9,3,0.6,50,0,529950
9,3,0.6,50,0,579189
9,3,0.6,50,0,530161
9,3,0.6,50,0,632477
9,3,0.6,50,0,569481
9,3,0.6,50,0,539170
9,3,0.6,50,0,559004
9,3,0.6,50,0,523246
9,4,0.6,50,0,662997
9,4,0.6,50,0,683601
9,4,0.6,50,0,769156
9,4,0.6,50,0,698476
9,4,0.6,50,0,648191
9,4,0.6,50,0,684089
9,4,0.6,50,0,754698
9,4,0.6,50,0,760635
9,4,0.6,50,0,649169
9,4,0.6,50,0,632058
9,5,0.6,50,0,1024842
9,5,0.6,50,0,987756
9,5,0.6,50,0,1024493
9,5,0.6,50,0,974766
9,5,0.6,50,0,963102
9,5,0.6,50,0,955071
9,5,0.6,50,0,1011991
9,5,0.6,50,0,961845
9,5,0.6,50,0,969459
9,5,0.6,50,0,1002563
9,6,0.6,50,0,1055153
9,6,0.6,50,0,977838
9,6,0.6,50,0,1020371
9,6,0.6,50,0,1019184
9,6,0.6,50,0,1027425
9,6,0.6,50,0,1004937
9,6,0.6,50,0,966665
9,6,0.6,50,0,949693
9,6,0.6,50,0,1016670
9,6,0.6,50,0,964499
9,7,0.6,50,0,2124552
9,7,0.6,50,0,2075524
9,7,0.6,50,0,2136496
9,7,0.6,50,0,2119384
9,7,0.6,50,0,2088096
9,7,0.6,50,0,2120991
9,7,0.6,50,0,2097524
9,7,0.6,50,0,2123854
9,7,0.6,50,0,2126718
9,7,0.6,50,0,2076083
9,8,0.6,50,0,1232129
9,8,0.6,50,0,1020233
