n,m,diff,ns
23,22,5,4121
23,22,5,4121
29,30,8,5797
29,30,8,4679
29,30,8,4121
29,30,8,4470
29,30,8,4399
29,30,8,4469
29,30,8,3911
29,30,8,3911
29,30,8,4469
29,30,8,3981
29,30,8,4400
29,30,8,4121
29,30,8,5378
29,30,8,4679
29,30,8,3911
29,30,8,4958
29,30,8,4400
29,30,8,4400
29,30,8,5238
29,30,8,4470
29,30,8,4400
29,30,8,5098
29,30,8,5657
29,30,8,4470
29,30,8,4470
29,30,8,4400
29,30,8,4749
29,30,8,4050
29,30,8,4400
29,30,8,4399
29,30,8,4470
29,30,8,4400
29,30,8,5028
29,30,8,4469
29,30,8,4400
29,30,8,4469
29,30,8,4400
29,30,8,4400
29,30,8,4260
29,30,8,4470
29,30,8,4470
29,30,8,4400
29,30,8,4469
29,30,8,4469
29,30,8,4400
29,30,8,4470
29,30,8,4470
29,30,8,4400
29,30,8,4469
29,30,8,4539
29,30,8,4470
29,30,8,4400
29,30,8,4400
29,30,8,4400
29,30,8,4400
29,30,8,4400
29,30,8,4400
29,30,8,4330
29,30,8,4470
29,30,8,4400
29,30,8,4470
29,30,8,4470
29,30,8,4470
29,30,8,4400
29,30,8,4469
29,30,8,4470
29,30,8,4540
29,30,8,4400
29,30,8,4330
29,30,8,4120
29,30,8,4469
29,30,8,4470
29,30,8,4400
29,30,8,4330
29,30,8,4330
29,30,8,4470
29,30,8,4400
29,30,8,4400
29,30,8,4470
29,30,8,4400
29,30,8,4958
29,30,8,4470
29,30,8,3981
29,30,8,4400
29,30,8,4470
29,30,8,4470
29,30,8,4470
29,30,8,4539
29,30,8,4539
29,30,8,4469
29,30,8,4051
29,30,8,4470
29,30,8,4470
29,30,8,4400
29,30,8,4400
29,30,8,4400
29,30,8,4400
29,30,8,4400
29,30,8,4400
29,30,8,4400
34,35,11,6006
34,35,11,5727
34,35,11,4889
34,35,11,4469
34,35,11,4749
34,35,11,4819
34,35,11,4819
34,35,11,4749
34,35,11,5657
34,35,11,4819
34,35,11,4679
34,35,11,4469
34,35,11,4749
34,35,11,4750
34,35,11,4819
34,35,11,5517
34,35,11,4889
34,35,11,4749
34,35,11,4749
34,35,11,4749
34,35,11,4679
34,35,11,4819
34,35,11,4749
34,35,11,4610
34,35,11,4260
34,35,11,4749
34,35,11,4330
34,35,11,4679
34,35,11,4889
34,35,11,4400
34,35,11,4959
34,35,11,4889
34,35,11,4889
34,35,11,4819
34,35,11,4749
34,35,11,4749
34,35,11,4819
34,35,11,4749
34,35,11,4750
34,35,11,4819
34,35,11,4819
34,35,11,4749
34,35,11,4749
34,35,11,4749
34,35,11,4609
34,35,11,4749
34,35,11,4819
34,35,11,4749
34,35,11,4819
34,35,11,4260
34,35,11,4749
34,35,11,4819
34,35,11,4819
34,35,11,4539
34,35,11,4610
34,35,11,4819
34,35,11,4819
34,35,11,4749
34,35,11,4819
34,35,11,4260
34,35,11,4749
34,35,11,4679
34,35,11,4750
34,35,11,4819
34,35,11,4749
34,35,11,4749
34,35,11,4819
34,35,11,4819
34,35,11,4750
34,35,11,4749
34,35,11,4680
34,35,11,4190
34,35,11,4749
34,35,11,4400
34,35,11,5029
34,35,11,4400
34,35,11,4819
34,35,11,4749
34,35,11,4819
34,35,11,4330
34,35,11,4889
34,35,11,4749
34,35,11,4819
34,35,11,4819
34,35,11,4819
34,35,11,4749
34,35,11,4749
34,35,11,4819
34,35,11,4750
34,35,11,4819
34,35,11,4679
34,35,11,4190
34,35,11,4750
34,35,11,4679
34,35,11,4749
34,35,11,4749
34,35,11,4610
34,35,11,4749
34,35,11,11384
34,35,11,5727
41,45,15,6425
41,45,15,5378
41,45,15,5517
41,45,15,5168
41,45,15,5168
41,45,15,4749
41,45,15,5098
41,45,15,4679
41,45,15,5168
41,45,15,5378
41,45,15,5168
41,45,15,4610
41,45,15,5168
41,45,15,6216
41,45,15,5099
41,45,15,5168
41,45,15,4679
41,45,15,5099
41,45,15,5308
41,45,15,5099
41,45,15,5098
41,45,15,5098
41,45,15,5168
41,45,15,4679
41,45,15,5378
41,45,15,5168
41,45,15,5098
41,45,15,5169
41,45,15,5098
41,45,15,4679
41,45,15,5098
41,45,15,5099
41,45,15,5098
41,45,15,5168
41,45,15,5169
41,45,15,5028
41,45,15,5168
41,45,15,5099
41,45,15,5098
41,45,15,5098
41,45,15,5169
41,45,15,5238
41,45,15,5099
41,45,15,5098
41,45,15,5168
41,45,15,5098
41,45,15,5168
41,45,15,5169
41,45,15,5168
41,45,15,5098
41,45,15,5169
41,45,15,5098
41,45,15,5238
41,45,15,5098
41,45,15,5098
41,45,15,5169
41,45,15,5098
41,45,15,5099
41,45,15,5099
41,45,15,5168
41,45,15,5099
41,45,15,4679
41,45,15,5168
41,45,15,5169
41,45,15,5168
41,45,15,5098
41,45,15,5168
41,45,15,5098
41,45,15,5029
41,45,15,5098
41,45,15,4819
41,45,15,5098
41,45,15,5169
41,45,15,4749
41,45,15,5098
41,45,15,4888
41,45,15,5168
41,45,15,5169
41,45,15,5098
41,45,15,5099
41,45,15,5168
41,45,15,5168
41,45,15,5098
41,45,15,5098
41,45,15,6006
41,45,15,5168
41,45,15,4749
41,45,15,5168
41,45,15,5099
41,45,15,5098
41,45,15,5098
41,45,15,5169
41,45,15,5168
41,45,15,5028
41,45,15,5169
41,45,15,5098
41,45,15,5168
41,45,15,5099
41,45,15,5028
41,45,15,5168
47,51,19,6006
47,51,19,5518
47,51,19,5447
47,51,19,6635
47,51,19,5517
47,51,19,5587
47,51,19,5587
47,51,19,5517
47,51,19,5518
47,51,19,6634
47,51,19,5587
47,51,19,5447
47,51,19,5517
47,51,19,5448
47,51,19,5518
47,51,19,5517
47,51,19,5517
47,51,19,6496
47,51,19,6286
47,51,19,5447
47,51,19,5448
47,51,19,5517
47,51,19,5378
47,51,19,5517
47,51,19,5518
47,51,19,5238
47,51,19,5517
47,51,19,5518
47,51,19,5029
47,51,19,5448
47,51,19,5448
47,51,19,5587
47,51,19,5447
47,51,19,5517
47,51,19,5448
47,51,19,5448
47,51,19,5518
47,51,19,5517
47,51,19,5378
47,51,19,5517
47,51,19,5517
47,51,19,5517
47,51,19,5517
47,51,19,5517
47,51,19,5029
47,51,19,5587
47,51,19,5518
47,51,19,5517
47,51,19,5447
47,51,19,5447
47,51,19,5587
47,51,19,5518
47,51,19,5587
47,51,19,5517
47,51,19,5517
47,51,19,5518
47,51,19,5517
47,51,19,5517
47,51,19,5587
47,51,19,5518
47,51,19,5448
47,51,19,5587
47,51,19,5588
47,51,19,5517
47,51,19,5517
47,51,19,5447
47,51,19,5937
47,51,19,5518
47,51,19,5447
47,51,19,5517
47,51,19,5238
47,51,19,5517
47,51,19,5447
47,51,19,5587
47,51,19,5448
47,51,19,5518
47,51,19,5518
47,51,19,5378
47,51,19,5447
47,51,19,5517
47,51,19,5517
47,51,19,5517
47,51,19,5518
47,51,19,5448
47,51,19,5517
47,51,19,5517
47,51,19,5518
47,51,19,5448
47,51,19,5517
47,51,19,5517
47,51,19,5518
47,51,19,5448
47,51,19,5168
47,51,19,5447
47,51,19,5028
47,51,19,5518
47,51,19,5518
47,51,19,5448
47,51,19,5518
47,51,19,5448
55,63,24,6984
55,63,24,5866
55,63,24,5937
55,63,24,6007
55,63,24,5448
55,63,24,6425
55,63,24,5867
55,63,24,5797
55,63,24,5657
55,63,24,6006
55,63,24,6845
55,63,24,6775
55,63,24,6006
55,63,24,6356
55,63,24,5937
55,63,24,5867
55,63,24,5447
55,63,24,5378
55,63,24,6216
55,63,24,5448
55,63,24,5657
55,63,24,5937
55,63,24,5797
55,63,24,5797
55,63,24,5448
55,63,24,5796
55,63,24,5448
55,63,24,5867
55,63,24,5937
55,63,24,5936
55,63,24,5866
55,63,24,5797
55,63,24,5866
55,63,24,5866
55,63,24,5867
55,63,24,5797
55,63,24,5518
55,63,24,5867
55,63,24,5448
55,63,24,5867
55,63,24,5936
55,63,24,5936
55,63,24,5867
55,63,24,5867
55,63,24,5867
55,63,24,5867
55,63,24,5797
55,63,24,5937
55,63,24,5797
55,63,24,5867
55,63,24,6286
55,63,24,6216
55,63,24,5937
55,63,24,5867
55,63,24,5937
55,63,24,5936
55,63,24,5936
55,63,24,5797
55,63,24,5517
55,63,24,5867
55,63,24,5796
55,63,24,5866
55,63,24,5797
55,63,24,5867
55,63,24,5797
55,63,24,6495
55,63,24,5867
55,63,24,5867
55,63,24,5867
55,63,24,5866
55,63,24,5866
55,63,24,5936
55,63,24,5866
55,63,24,5866
55,63,24,6077
55,63,24,5867
55,63,24,5867
55,63,24,5797
55,63,24,5867
55,63,24,5867
55,63,24,5797
55,63,24,5936
55,63,24,5866
55,63,24,5866
55,63,24,5867
55,63,24,6006
55,63,24,5797
55,63,24,6146
55,63,24,5936
55,63,24,5797
55,63,24,5866
55,63,24,5727
55,63,24,5377
55,63,24,6146
55,63,24,5937
55,63,24,5727
55,63,24,5867
55,63,24,5797
55,63,24,5867
55,63,24,5936
62,70,29,7263
62,70,29,6285
62,70,29,6285
62,70,29,6286
62,70,29,6076
62,70,29,5797
62,70,29,6216
62,70,29,6146
62,70,29,6635
62,70,29,6356
62,70,29,6286
62,70,29,6216
62,70,29,6286
62,70,29,6216
62,70,29,6286
62,70,29,6286
62,70,29,6216
62,70,29,6215
62,70,29,6216
62,70,29,6216
62,70,29,6286
62,70,29,6495
62,70,29,6216
62,70,29,6216
62,70,29,7053
62,70,29,7124
62,70,29,6215
62,70,29,6285
62,70,29,6146
62,70,29,6216
62,70,29,6286
62,70,29,6216
62,70,29,6146
62,70,29,6286
62,70,29,6216
62,70,29,6216
62,70,29,6216
62,70,29,6146
62,70,29,6216
62,70,29,6216
62,70,29,6216
62,70,29,6285
62,70,29,6285
62,70,29,6215
62,70,29,6146
62,70,29,6286
62,70,29,6216
62,70,29,6216
62,70,29,6216
62,70,29,6286
62,70,29,6286
62,70,29,6216
62,70,29,6145
62,70,29,6146
62,70,29,6216
62,70,29,6286
62,70,29,6216
62,70,29,6216
62,70,29,6216
62,70,29,6216
62,70,29,6146
62,70,29,6216
62,70,29,6216
62,70,29,6146
62,70,29,7193
62,70,29,6216
62,70,29,6146
62,70,29,6146
62,70,29,6286
62,70,29,6286
62,70,29,6286
62,70,29,6216
62,70,29,6286
62,70,29,6286
62,70,29,6216
62,70,29,6216
62,70,29,7054
62,70,29,6215
62,70,29,6216
62,70,29,6216
