n,m,p,it,diff,ns
43,32,0.6,50,0,1250498
43,32,0.6,50,0,1233876
43,32,0.6,50,0,1241488
43,32,0.6,50,0,1229965
43,32,0.6,50,0,1227939
43,32,0.6,50,0,1212783
43,32,0.6,50,0,1237856
43,32,0.6,50,0,1209921
43,32,0.6,50,0,1237368
56,45,0.6,50,0,1604590
56,45,0.6,50,0,1649707
56,45,0.6,50,0,1594114
56,45,0.6,50,0,1530978
56,45,0.6,50,0,1611016
56,45,0.6,50,0,1615625
56,45,0.6,50,0,1547810
56,45,0.6,50,0,1592857
56,45,0.6,50,0,1628476
56,45,0.6,50,0,1605847
56,45,0.6,50,0,1573651
56,45,0.6,50,0,1607384
56,45,0.6,50,0,1574000
56,45,0.6,50,0,1585105
56,45,0.6,50,0,1566527
56,45,0.6,50,0,1554655
56,45,0.6,50,0,1563733
56,45,0.6,50,0,1596629
56,45,0.6,50,0,1568273
56,45,0.6,50,0,1588737
56,45,0.6,50,0,1608851
56,45,0.6,50,0,1584336
56,45,0.6,50,0,1554444
56,45,0.6,50,0,1567225
56,45,0.6,50,0,1589155
56,45,0.6,50,0,1579448
56,45,0.6,50,0,1549067
56,45,0.6,50,0,1662768
56,45,0.6,50,0,1591111
56,45,0.6,50,0,1591041
56,45,0.6,50,0,1536496
56,45,0.6,50,0,1549067
56,45,0.6,50,0,1612971
56,45,0.6,50,0,1570996
56,45,0.6,50,0,1570228
56,45,0.6,50,0,1577701
56,45,0.6,50,0,1571975
56,45,0.6,50,0,1584546
56,45,0.6,50,0,1615975
56,45,0.6,50,0,1569531
56,45,0.6,50,0,1593346
56,45,0.6,50,0,1551441
56,45,0.6,50,0,1527068
56,45,0.6,50,0,1636717
56,45,0.6,50,0,1548578
56,45,0.6,50,0,1620444
56,45,0.6,50,0,1606755
56,45,0.6,50,0,1610178
56,45,0.6,50,0,1631549
56,45,0.6,50,0,1566108
56,45,0.6,50,0,1613879
56,45,0.6,50,0,1565689
56,45,0.6,50,0,1550185
56,45,0.6,50,0,1648799
56,45,0.6,50,0,1587060
56,45,0.6,50,0,1552279
56,45,0.6,50,0,1567016
56,45,0.6,50,0,1586292
56,45,0.6,50,0,1630362
56,45,0.6,50,0,1566736
56,45,0.6,50,0,1593695
56,45,0.6,50,0,1548019
56,45,0.6,50,0,1624146
56,45,0.6,50,0,1579029
56,45,0.6,50,0,1611225
56,45,0.6,50,0,1577283
56,45,0.6,50,0,1567016
56,45,0.6,50,0,1625263
56,45,0.6,50,0,1590273
56,45,0.6,50,0,1624425
56,45,0.6,50,0,1617930
56,45,0.6,50,0,1610248
56,45,0.6,50,0,1488375
56,45,0.6,50,0,1657460
56,45,0.6,50,0,1607314
56,45,0.6,50,0,1554305
56,45,0.6,50,0,1564432
56,45,0.6,50,0,1568832
56,45,0.6,50,0,1531607
56,45,0.6,50,0,1662907
56,45,0.6,50,0,1578610
56,45,0.6,50,0,1609619
56,45,0.6,50,0,1568622
56,45,0.6,50,0,1615625
56,45,0.6,50,0,1587200
56,45,0.6,50,0,1533842
56,45,0.6,50,0,1527207
56,45,0.6,50,0,1604380
56,45,0.6,50,0,1575397
56,45,0.6,50,0,1568623
56,45,0.6,50,0,1634552
56,45,0.6,50,0,1624774
56,45,0.6,50,0,1590692
56,45,0.6,50,0,1567574
56,45,0.6,50,0,1589226
56,45,0.6,50,0,1637695
56,45,0.6,50,0,1583777
56,45,0.6,50,0,1566388
56,45,0.6,50,0,1532934
56,45,0.6,50,0,1591250
68,57,0.6,50,1,1927254
68,57,0.6,50,1,1790227
68,57,0.6,50,1,1820119
68,57,0.6,50,1,1790716
68,57,0.6,50,1,1788411
68,57,0.6,50,1,1870963
68,57,0.6,50,1,1791554
68,57,0.6,50,1,1792392
68,57,0.6,50,1,1768647
68,57,0.6,50,1,1746437
68,57,0.6,50,1,1735821
68,57,0.6,50,1,1794557
68,57,0.6,50,1,1788690
68,57,0.6,50,1,1793160
68,57,0.6,50,1,1819350
68,57,0.6,50,1,1787294
68,57,0.6,50,1,1797281
68,57,0.6,50,1,1813134
68,57,0.6,50,1,1796792
68,57,0.6,50,1,1786037
68,57,0.6,50,1,1746856
68,57,0.6,50,1,1813833
68,57,0.6,50,1,1821795
68,57,0.6,50,1,1842119
68,57,0.6,50,1,1793439
68,57,0.6,50,1,1863909
68,57,0.6,50,1,1830386
68,57,0.6,50,1,1793300
68,57,0.6,50,1,1787294
68,57,0.6,50,1,1847357
68,57,0.6,50,1,1787852
68,57,0.6,50,1,1772418
68,57,0.6,50,1,1768436
68,57,0.6,50,1,1757262
68,57,0.6,50,1,1820118
68,57,0.6,50,1,1789389
68,57,0.6,50,1,1822423
68,57,0.6,50,1,1830036
68,57,0.6,50,1,1792043
68,57,0.6,50,1,1790786
68,57,0.6,50,1,1743434
68,57,0.6,50,1,1785688
68,57,0.6,50,1,1818023
68,57,0.6,50,1,1789249
68,57,0.6,50,1,1859789
68,57,0.6,50,1,1889680
68,57,0.6,50,1,1784151
68,57,0.6,50,1,1823471
68,57,0.6,50,1,1786944
68,57,0.6,50,1,1772278
68,57,0.6,50,1,1791624
68,57,0.6,50,1,1845680
68,57,0.6,50,1,1786456
68,57,0.6,50,1,1819211
68,57,0.6,50,1,1789738
68,57,0.6,50,1,1786735
68,57,0.6,50,1,1870684
68,57,0.6,50,1,1792112
68,57,0.6,50,1,1773115
68,57,0.6,50,1,1792392
68,57,0.6,50,1,1795395
68,57,0.6,50,1,1813623
68,57,0.6,50,1,1822354
68,57,0.6,50,1,1781496
68,57,0.6,50,1,1788271
68,57,0.6,50,1,1770881
68,57,0.6,50,1,1807408
68,57,0.6,50,1,1766970
68,57,0.6,50,1,1740081
68,57,0.6,50,1,1841141
68,57,0.6,50,1,1785408
68,57,0.6,50,1,1773605
68,57,0.6,50,1,1788341
68,57,0.6,50,1,1792532
68,57,0.6,50,1,1737986
68,57,0.6,50,1,1736729
68,57,0.6,50,1,1816068
68,57,0.6,50,1,1787573
68,57,0.6,50,1,1847566
68,57,0.6,50,1,1861395
68,57,0.6,50,1,1820049
68,57,0.6,50,1,1761802
68,57,0.6,50,1,1825147
68,57,0.6,50,1,1786805
68,57,0.6,50,1,1790366
68,57,0.6,50,1,1821586
68,57,0.6,50,1,1790227
68,57,0.6,50,1,1822982
68,57,0.6,50,1,1792392
68,57,0.6,50,1,1846519
68,57,0.6,50,1,1789249
68,57,0.6,50,1,1889959
68,57,0.6,50,1,1789948
68,57,0.6,50,1,1820817
68,57,0.6,50,1,1784989
68,57,0.6,50,1,1834715
68,57,0.6,50,1,1851267
68,57,0.6,50,1,1840303
68,57,0.6,50,1,1750278
68,57,0.6,50,1,1787433
82,72,0.6,50,3,2336172
82,72,0.6,50,3,2227709
82,72,0.6,50,3,2232458
82,72,0.6,50,3,2245099
82,72,0.6,50,3,2223309
82,72,0.6,50,3,2232249
82,72,0.6,50,3,2219747
82,72,0.6,50,3,2197049
82,72,0.6,50,3,2225405
82,72,0.6,50,3,2231760
82,72,0.6,50,3,2190135
82,72,0.6,50,3,2257810
82,72,0.6,50,3,2199982
82,72,0.6,50,3,2229804
82,72,0.6,50,3,2234344
82,72,0.6,50,3,2227989
82,72,0.6,50,3,2236509
82,72,0.6,50,3,2223239
82,72,0.6,50,3,2230224
82,72,0.6,50,3,2195303
82,72,0.6,50,3,2263607
82,72,0.6,50,3,2200960
82,72,0.6,50,3,2225963
82,72,0.6,50,3,2234763
82,72,0.6,50,3,2221214
82,72,0.6,50,3,2230712
82,72,0.6,50,3,2196071
82,72,0.6,50,3,2258509
82,72,0.6,50,3,2192649
82,72,0.6,50,3,2232947
82,72,0.6,50,3,2229665
82,72,0.6,50,3,2224426
82,72,0.6,50,3,2229246
82,72,0.6,50,3,2194115
82,72,0.6,50,3,2224845
82,72,0.6,50,3,2220586
82,72,0.6,50,3,2199912
82,72,0.6,50,3,2258230
82,72,0.6,50,3,2198795
82,72,0.6,50,3,2231899
82,72,0.6,50,3,2224287
82,72,0.6,50,3,2233156
82,72,0.6,50,3,2223659
82,72,0.6,50,3,2231690
82,72,0.6,50,3,2222262
82,72,0.6,50,3,2200821
82,72,0.6,50,3,2222122
82,72,0.6,50,3,2228826
82,72,0.6,50,3,2229665
82,72,0.6,50,3,2230782
82,72,0.6,50,3,2204522
82,72,0.6,50,3,2256064
82,72,0.6,50,3,2202776
82,72,0.6,50,3,2226661
82,72,0.6,50,3,2234274
82,72,0.6,50,3,2222122
82,72,0.6,50,3,2231341
82,72,0.6,50,3,2235811
82,72,0.6,50,3,2228337
82,72,0.6,50,3,2199633
82,72,0.6,50,3,2222541
82,72,0.6,50,3,2230642
82,72,0.6,50,3,2224776
82,72,0.6,50,3,2224776
82,72,0.6,50,3,2201658
82,72,0.6,50,3,2257950
82,72,0.6,50,3,2206687
82,72,0.6,50,3,2253759
82,72,0.6,50,3,2247683
82,72,0.6,50,3,2224567
82,72,0.6,50,3,2203893
82,72,0.6,50,3,2223938
82,72,0.6,50,3,2230922
82,72,0.6,50,3,2237696
82,72,0.6,50,3,2224077
82,72,0.6,50,3,2232598
82,72,0.6,50,3,2228198
82,72,0.6,50,3,2230782
82,72,0.6,50,3,2224008
82,72,0.6,50,3,2200541
82,72,0.6,50,3,2229246
82,72,0.6,50,3,2228896
82,72,0.6,50,3,2228896
82,72,0.6,50,3,2231550
82,72,0.6,50,3,2229734
82,72,0.6,50,3,2224426
82,72,0.6,50,3,2200402
82,72,0.6,50,3,2222820
82,72,0.6,50,3,2236648
82,72,0.6,50,3,2220446
82,72,0.6,50,3,2232947
82,72,0.6,50,3,2234205
82,72,0.6,50,3,2220445
82,72,0.6,50,3,2204172
82,72,0.6,50,3,2225056
82,72,0.6,50,3,2234064
82,72,0.6,50,3,2227080
82,72,0.6,50,3,2224147
82,72,0.6,50,3,2193697
82,72,0.6,50,3,2228059
95,85,0.6,50,5,2968998
95,85,0.6,50,5,2947627
95,85,0.6,50,5,2942249
95,85,0.6,50,5,2938687
95,85,0.6,50,5,2981919
95,85,0.6,50,5,2937221
95,85,0.6,50,5,2950491
95,85,0.6,50,5,2977309
95,85,0.6,50,5,2954681
95,85,0.6,50,5,2940015
95,85,0.6,50,5,2978566
95,85,0.6,50,5,2940922
95,85,0.6,50,5,2946789
95,85,0.6,50,5,2934567
95,85,0.6,50,5,2946859
95,85,0.6,50,5,2974865
95,85,0.6,50,5,2947068
95,85,0.6,50,5,2935196
95,85,0.6,50,5,2947278
95,85,0.6,50,5,2982128
95,85,0.6,50,5,2943996
95,85,0.6,50,5,2941132
