n,m,diff,ns
29,30,8,15435
29,30,8,15226
29,30,8,15365
29,30,8,15296
29,30,8,15225
29,30,8,15295
29,30,8,15295
29,30,8,15295
29,30,8,15156
29,30,8,15295
29,30,8,15225
29,30,8,15295
29,30,8,15295
29,30,8,15295
29,30,8,15225
29,30,8,15225
29,30,8,15156
29,30,8,15574
29,30,8,15434
29,30,8,15225
29,30,8,15226
29,30,8,15295
29,30,8,15226
29,30,8,15295
29,30,8,15225
29,30,8,15295
29,30,8,15155
29,30,8,15155
29,30,8,15226
29,30,8,15225
29,30,8,15365
29,30,8,15225
29,30,8,15225
29,30,8,15225
29,30,8,15155
29,30,8,15365
29,30,8,15295
29,30,8,15295
29,30,8,15225
29,30,8,15225
29,30,8,15365
29,30,8,15853
29,30,8,15225
29,30,8,14806
29,30,8,15295
29,30,8,15295
29,30,8,15295
29,30,8,15225
29,30,8,15155
29,30,8,15156
29,30,8,15365
29,30,8,15365
29,30,8,15365
29,30,8,15156
29,30,8,23047
29,30,8,14946
29,30,8,14876
29,30,8,14946
29,30,8,14806
29,30,8,14806
29,30,8,14876
29,30,8,14876
29,30,8,14946
29,30,8,14736
29,30,8,14737
29,30,8,14876
29,30,8,15086
29,30,8,14876
29,30,8,14946
29,30,8,14946
29,30,8,14946
29,30,8,14876
29,30,8,14946
29,30,8,15016
29,30,8,14876
29,30,8,15156
29,30,8,15016
29,30,8,14946
29,30,8,21860
29,30,8,14946
29,30,8,14946
29,30,8,14946
29,30,8,14876
29,30,8,14318
34,35,11,17041
34,35,11,18159
34,35,11,25561
34,35,11,16831
34,35,11,24653
34,35,11,42742
34,35,11,15714
34,35,11,15924
34,35,11,16064
34,35,11,17111
34,35,11,16133
34,35,11,16064
34,35,11,16133
34,35,11,16133
34,35,11,16203
34,35,11,16133
34,35,11,16203
34,35,11,16203
34,35,11,16343
34,35,11,16133
34,35,11,16273
34,35,11,16203
34,35,11,16203
34,35,11,16133
34,35,11,16133
34,35,11,16203
34,35,11,16134
34,35,11,16133
34,35,11,16064
34,35,11,16203
34,35,11,16133
34,35,11,16133
34,35,11,16133
34,35,11,16064
34,35,11,16203
34,35,11,16134
34,35,11,16063
34,35,11,16134
34,35,11,16203
34,35,11,16203
34,35,11,15993
34,35,11,16063
34,35,11,16133
34,35,11,16133
34,35,11,16064
34,35,11,16133
34,35,11,16133
34,35,11,16203
34,35,11,16133
34,35,11,16133
34,35,11,16203
34,35,11,16622
34,35,11,16063
34,35,11,16203
34,35,11,16063
34,35,11,16133
34,35,11,16063
34,35,11,16134
34,35,11,16133
34,35,11,16064
34,35,11,16064
34,35,11,16063
34,35,11,16273
34,35,11,16063
34,35,11,16203
34,35,11,16063
34,35,11,16133
34,35,11,16203
34,35,11,16133
34,35,11,16133
34,35,11,16063
34,35,11,16133
34,35,11,15994
34,35,11,16133
34,35,11,16064
34,35,11,16133
34,35,11,15994
34,35,11,16063
34,35,11,16203
34,35,11,15993
34,35,11,15994
34,35,11,15994
34,35,11,16133
34,35,11,16133
34,35,11,16133
34,35,11,16273
34,35,11,16133
34,35,11,16133
34,35,11,16622
34,35,11,16133
34,35,11,16063
34,35,11,16063
34,35,11,16203
34,35,11,15993
34,35,11,16064
34,35,11,16203
34,35,11,16273
34,35,11,16203
34,35,11,16133
34,35,11,16133
41,45,15,18857
41,45,15,27448
41,45,15,25492
41,45,15,18229
41,45,15,34362
41,45,15,34152
41,45,15,17321
41,45,15,17460
41,45,15,18228
41,45,15,17530
41,45,15,17320
41,45,15,17600
41,45,15,17390
41,45,15,17390
41,45,15,17251
