n,m,ns
4,2,20323
4,2,19974
4,2,19834
4,2,19625
4,2,20533
4,2,20952
4,2,20393
4,2,20813
4,2,20533
4,2,20114
4,2,20114
4,2,20463
4,2,20183
4,2,20044
4,2,19974
4,2,20044
4,2,19975
4,2,19486
4,2,19905
4,2,20254
4,2,20743
4,2,20742
4,2,19555
4,2,19974
4,2,20464
4,2,20463
4,2,20184
4,2,19974
4,2,19974
4,2,20673
4,2,19206
4,2,20184
4,2,20883
4,2,20882
4,3,25422
4,3,25981
4,3,24584
4,3,24514
4,3,23606
4,3,24584
4,3,24794
4,3,23956
4,3,23257
4,3,23955
4,3,23955
4,3,23885
4,3,22558
4,3,22837
4,3,22838
4,3,22908
4,3,22768
4,3,23117
4,3,23606
4,3,23675
4,3,23047
4,3,22768
4,3,22768
4,3,22838
4,3,22419
4,3,22768
4,3,22837
4,3,23187
4,3,21791
4,3,23047
4,3,22977
4,3,22908
4,3,23048
4,3,22838
4,3,21790
4,3,22419
4,3,22838
4,3,22837
4,3,22628
4,3,22418
4,3,22768
4,3,22978
4,3,23117
4,3,23257
4,3,21860
4,3,22977
4,3,22069
4,3,22908
4,3,22698
4,3,21720
4,3,22768
4,3,22977
4,3,23396
4,3,23606
4,3,22489
4,3,23326
4,3,22628
4,3,22558
4,3,23047
4,3,22907
4,3,22488
4,3,22977
4,3,22698
4,3,22559
4,3,22000
4,3,22838
4,3,22908
4,3,22837
4,3,23327
4,3,23187
4,3,22768
4,3,22908
4,3,22768
4,3,22768
4,3,22698
4,3,22768
4,3,22698
4,3,23047
4,3,23117
4,3,23187
4,3,22698
4,3,22978
4,3,22838
4,3,21999
4,3,47701
4,3,20812
4,3,21930
4,3,22349
4,3,20882
4,3,21720
4,3,22139
4,3,21930
4,3,21511
4,3,21511
4,3,21441
4,3,21930
4,3,21581
4,3,21790
4,3,21511
4,3,21581
4,4,28844
4,4,26888
4,4,27867
4,4,27657
4,4,26120
4,4,26888
4,4,26400
4,4,27028
4,4,27587
4,4,27238
4,4,26679
4,4,26958
4,4,27308
4,4,26609
4,4,26469
4,4,26050
4,4,26260
4,4,26469
4,4,26539
4,4,25980
4,4,26958
4,4,27586
4,4,27657
4,4,26959
4,4,26400
4,4,26818
4,4,26539
4,4,26749
4,4,26749
4,4,26540
4,4,26819
4,4,26610
4,4,26609
4,4,26749
4,4,25632
4,4,26609
4,4,26958
4,4,26749
4,4,26540
4,4,26749
4,4,26540
4,4,26679
4,4,26469
4,4,27308
4,4,27098
4,4,26609
4,4,27727
4,4,27587
4,4,27447
4,4,26889
4,4,25910
4,4,26609
4,4,26679
4,4,26470
4,4,26749
4,4,26469
4,4,26888
4,4,27237
4,4,26889
4,4,26819
4,4,26959
4,4,26609
4,4,27028
4,4,27237
4,4,27657
4,4,27727
4,4,26819
4,4,26539
4,4,26889
4,4,26609
4,4,26679
4,4,26749
4,4,27237
4,4,27098
4,4,27587
4,4,27028
4,4,26399
4,4,26539
4,4,26888
4,4,26679
4,4,26330
4,4,27028
4,4,26749
4,4,27028
4,4,26539
4,4,27517
4,4,27657
4,4,27168
4,4,26539
4,4,26609
4,4,26888
4,4,26679
4,4,26679
4,4,26888
4,4,26400
4,4,26958
4,4,27447
4,4,26888
4,4,27238
4,4,26260
4,5,35269
4,5,33663
4,5,32616
4,5,31708
4,5,32196
4,5,32475
4,5,31987
4,5,31359
4,5,31568
4,5,31567
4,5,31568
4,5,31289
4,5,31428
4,5,33105
4,5,32755
4,5,32475
4,5,32196
4,5,31707
4,5,31848
4,5,42393
4,5,31568
4,5,32056
4,5,31637
4,5,31218
4,5,31358
4,5,31637
4,5,31289
4,5,31359
4,5,30870
4,5,32266
4,5,32475
4,5,32475
4,5,31638
4,5,32686
4,5,32266
4,5,30800
4,5,31638
4,5,31638
4,5,31637
4,5,31707
4,5,31358
4,5,31707
4,5,31358
4,5,30869
4,5,31847
4,5,31498
4,5,32476
4,5,31358
4,5,32615
4,5,31777
4,5,31987
4,5,32476
4,5,32476
4,5,32196
4,5,31568
4,5,31498
4,5,32476
4,5,32196
4,5,31358
4,5,31498
4,5,31148
4,5,31428
4,5,31218
4,5,31428
4,5,31359
4,5,31219
4,5,31847
4,5,31777
4,5,31707
4,5,31707
4,5,32685
4,5,32406
4,5,31987
4,5,31358
4,5,31288
4,5,31148
4,5,31498
4,5,32686
4,5,31917
4,5,31637
4,5,31149
4,5,31987
4,5,32545
4,5,31987
4,5,31149
4,5,31288
4,5,31218
4,5,31358
4,5,30660
4,5,31359
4,5,31498
4,5,31637
4,5,31777
4,5,31568
4,5,31288
4,5,31218
4,5,30870
4,5,31359
4,5,31568
4,5,31149
4,6,45256
4,6,39669
4,6,38412
4,6,38692
4,6,38412
4,6,37434
4,6,37015
4,6,36317
4,6,36317
4,6,37364
4,6,38063
4,6,37923
4,6,37643
4,6,37504
4,6,36806
4,6,36387
4,6,36805
4,6,36876
4,6,36876
4,6,36596
4,6,36736
4,6,36806
4,6,35898
4,6,36806
4,6,36945
4,6,37714
4,6,37924
4,6,37225
4,6,37225
4,6,36666
4,6,36317
4,6,45606
4,6,36526
4,6,36037
4,6,36387
4,6,36806
4,6,36457
4,6,36596
4,6,36457
4,6,36666
4,6,36387
4,6,36736
4,6,36317
4,6,36527
4,6,36805
4,6,36736
4,6,36666
4,6,37155
4,6,36945
4,6,36178
4,6,37225
4,6,37365
4,6,38063
4,6,37085
4,6,36875
4,6,36527
4,6,37016
4,6,36806
4,6,37224
4,6,37644
4,6,37156
4,6,36945
4,6,36945
4,6,36387
4,6,35828
4,6,37853
4,6,38063
4,6,37924
4,6,37854
4,6,37085
4,6,37085
4,6,36597
4,6,36666
4,6,36317
4,6,37923
4,6,38132
4,6,37923
4,6,37853
4,6,37225
4,6,36876
4,6,36805
4,6,36666
4,6,36806
4,6,37993
4,6,37295
4,6,36526
4,6,36596
4,6,36666
4,6,35689
4,6,36596
4,6,36317
4,6,36946
4,6,36946
4,6,37784
4,6,36945
4,6,36596
4,6,36875
4,6,36736
4,6,36037
4,6,36736
5,0,20044
5,0,19346
5,0,18578
5,0,18018
5,0,17530
5,0,16831
5,0,17320
5,0,18019
5,0,18089
5,0,17879
5,0,17600
5,0,18298
5,0,18089
5,0,17949
5,0,17949
5,0,18088
5,0,18158
5,0,18927
5,0,18648
5,0,18438
5,0,18228
5,0,17879
5,0,18018
5,0,18158
5,0,18228
5,0,18787
5,0,18298
5,0,18019
5,0,18508
5,0,18857
5,0,18717
5,0,17949
5,0,17111
5,0,17809
5,0,18018
5,0,17809
5,0,18018
5,0,16762
5,0,17251
5,0,17251
5,0,18019
5,0,17948
5,0,18089
5,0,18089
5,0,17670
5,0,18018
5,0,18507
5,0,17949
5,0,17948
5,0,18647
5,0,17879
5,0,17181
5,0,17810
5,0,18088
5,0,17949
5,0,18159
5,0,17879
5,0,18159
5,0,18508
5,0,18647
5,0,18228
5,0,18577
5,0,31148
5,0,31638
5,0,17949
5,0,17879
5,0,17390
5,0,17181
5,0,17251
5,0,17530
5,0,17251
5,0,17251
5,0,17530
5,0,17600
5,0,17739
5,0,17320
5,0,17111
5,0,17670
5,0,16971
5,0,17321
5,0,17251
5,0,17041
5,0,17321
5,0,16831
5,0,17250
5,0,17181
5,0,17111
5,0,17181
5,0,17111
5,0,17041
5,0,17251
5,0,16971
5,0,17250
5,0,16552
5,0,16902
5,0,16971
5,0,17879
5,0,17181
5,0,17041
5,0,16902
5,1,22977
5,1,21790
5,1,21022
5,1,20464
5,1,21860
5,1,19416
5,1,20114
5,1,20184
5,1,20254
5,1,19695
5,1,20324
5,1,20253
5,1,20114
5,1,21161
5,1,21162
5,1,20534
5,1,19974
5,1,20882
5,1,20463
5,1,20114
5,1,19695
5,1,19346
5,1,20184
5,1,20114
5,1,20254
5,1,19975
5,1,20464
5,1,20882
5,1,19416
5,1,20254
5,1,19904
5,1,20323
5,1,20254
5,1,19905
5,1,21302
5,1,20394
5,1,20045
5,1,19905
5,1,20184
5,1,19974
5,1,19974
5,1,19625
5,1,20183
5,1,20603
5,1,21092
5,1,21092
5,1,20534
5,1,20324
5,1,20394
5,1,20114
5,1,20253
5,1,20393
5,1,20603
5,1,20324
5,1,20393
5,1,19625
5,1,20184
5,1,20044
5,1,20184
5,1,20114
5,1,19416
5,1,20672
5,1,20254
5,1,19695
5,1,20114
5,1,20114
5,1,20463
5,1,20114
5,1,20114
5,1,20324
5,1,20533
5,1,20184
5,1,20533
5,1,20324
5,1,20045
5,1,20254
5,1,20813
5,1,20184
5,1,20533
5,1,19066
5,1,20463
5,1,20115
5,1,19974
5,1,20324
5,1,21092
5,1,20463
5,1,19974
5,1,20673
5,1,20812
5,1,20603
5,1,21022
5,1,20394
5,1,20603
5,1,21022
5,1,20743
5,1,20044
5,1,20114
5,1,19975
5,1,20393
5,1,20114
5,2,24095
5,2,22628
5,2,22629
5,2,21721
5,2,21861
5,2,22558
5,2,23187
5,2,22419
5,2,22418
5,2,23047
5,2,22489
5,2,22349
5,2,22768
5,2,23117
5,2,22489
5,2,22140
5,2,22559
5,2,22209
5,2,21720
5,2,22349
5,2,22489
5,2,22349
5,2,22489
5,2,22209
5,2,22419
5,2,23187
5,2,22139
5,2,22349
5,2,22559
5,2,22279
5,2,22139
5,2,22488
5,2,22558
5,2,22419
5,2,22279
5,2,23047
5,2,23117
5,2,23117
5,2,22489
5,2,29683
5,2,22838
5,2,22209
5,2,22558
5,2,22279
5,2,22209
5,2,22768
5,2,23327
5,2,22488
5,2,22349
5,2,22349
5,2,22279
5,2,23327
5,2,23187
5,2,22838
5,2,22000
5,2,22139
5,2,22419
5,2,22000
5,2,22279
5,2,22209
5,2,22070
5,2,22070
5,2,22069
5,2,21441
5,2,21581
5,2,22280
5,2,22349
5,2,22279
5,2,22419
5,2,22349
5,2,22349
5,2,22907
5,2,23117
5,2,22349
5,2,22280
5,2,22279
5,2,21511
5,2,22349
5,2,22279
5,2,22000
5,2,22419
5,2,22210
5,2,22279
5,2,22349
5,2,22348
5,2,21860
5,2,21930
5,2,22209
5,2,22000
5,2,22418
5,2,21162
5,2,22209
5,2,22279
5,2,22488
5,2,22419
5,2,22907
5,2,22349
5,2,22419
5,2,21720
5,2,21930
5,3,26609
5,3,24863
5,3,24165
5,3,24305
5,3,24305
5,3,24723
5,3,25073
5,3,24723
5,3,25003
5,3,24375
5,3,24863
5,3,24863
5,3,24584
5,3,24863
5,3,24933
5,3,25352
5,3,24165
5,3,25352
5,3,24375
5,3,25352
5,3,25701
5,3,24793
5,3,25072
5,3,24933
5,3,25072
5,3,24654
5,3,25213
5,3,25841
5,3,25352
5,3,25073
5,3,25911
5,3,25911
5,3,25212
5,3,24863
5,3,24863
5,3,24724
5,3,25491
5,3,25142
5,3,24584
5,3,24444
5,3,24793
5,3,24723
5,3,24724
5,3,25073
5,3,25212
5,3,24514
5,3,24793
5,3,24654
5,3,24724
5,3,24794
5,3,24095
5,3,24794
5,3,25492
5,3,25980
5,3,24444
5,3,24933
5,3,25073
5,3,25491
5,3,25562
5,3,24235
5,3,25910
5,3,25771
5,3,25352
5,3,25143
5,3,25422
5,3,25212
5,3,25562
5,3,24025
5,3,24794
5,3,24863
5,3,24794
5,3,24724
5,3,24863
5,3,24793
5,3,24514
5,3,24584
5,3,24165
5,3,25422
5,3,24724
5,3,24724
5,3,24933
5,3,24654
5,3,24305
5,3,25282
5,3,25003
5,3,25003
5,3,24304
5,3,24723
5,3,24164
5,3,25212
5,3,24933
5,3,31707
5,3,38971
5,3,22699
5,3,37435
5,3,24933
5,3,24863
5,3,25562
5,3,25142
5,3,25841
5,4,28425
5,4,27657
5,4,39459
5,4,25701
5,4,25142
5,4,38202
5,4,26679
5,4,26470
5,4,26889
5,4,26399
5,4,27447
5,4,26958
5,4,26260
5,4,26749
5,4,27657
5,4,38692
5,4,39809
5,4,26958
5,4,26330
5,4,25492
5,4,26260
5,4,27308
5,4,27797
5,4,27308
5,4,27447
5,4,27029
5,4,27168
5,4,27308
5,4,26539
5,4,26469
5,4,26818
5,4,27028
5,4,27028
5,4,27796
5,4,26888
5,4,26609
5,4,26749
5,4,26469
5,4,26120
5,4,26260
5,4,26190
5,4,25562
5,4,27028
5,4,26819
5,4,26889
5,4,27238
5,4,27726
5,4,27377
5,4,26120
5,4,26400
5,4,25421
5,4,26190
5,4,26469
5,4,26260
5,4,26889
5,4,26818
5,4,26539
5,4,26609
5,4,27587
5,4,26051
5,4,27098
5,4,26540
5,4,26399
5,4,26818
5,4,26889
5,4,27448
5,4,26679
5,4,27307
5,4,27238
5,4,26819
5,4,26609
5,4,26679
5,4,26749
5,4,26469
5,4,26819
5,4,26330
5,4,26400
5,4,27168
5,4,26679
5,4,26330
5,4,26819
5,4,27308
5,4,27098
5,4,27098
5,4,26260
5,4,27307
5,4,27168
5,4,26470
5,4,27028
5,4,27238
5,4,26469
5,4,27098
5,4,25841
5,4,26540
5,4,27238
5,4,27238
5,4,26679
5,4,26749
5,4,26749
5,4,26679
5,5,30870
5,5,30590
5,5,41346
5,5,26749
5,5,41275
5,5,29193
5,5,29612
5,5,29263
5,5,29403
5,5,29752
5,5,30660
5,5,30241
5,5,28984
5,5,40507
5,5,41345
5,5,29263
5,5,28774
5,5,29612
5,5,29403
5,5,29333
5,5,29124
5,5,30102
5,5,41625
5,5,40997
5,5,28146
5,5,28146
5,5,28215
5,5,28076
5,5,28076
5,5,27726
5,5,27936
5,5,28076
5,5,28146
5,5,27587
5,5,28146
5,5,28914
5,5,28984
5,5,28425
5,5,28146
5,5,28774
5,5,28635
5,5,28216
5,5,28844
5,5,27937
5,5,28145
5,5,28076
5,5,28145
5,5,27866
5,5,28425
5,5,28005
5,5,28634
5,5,28215
5,5,28984
5,5,28635
5,5,27866
5,5,28006
5,5,28286
5,5,28076
5,5,28076
5,5,27936
5,5,28006
5,5,28145
5,5,27377
5,5,27377
5,5,28006
5,5,27796
5,5,28914
5,5,28495
5,5,28216
5,5,27447
5,5,28356
5,5,28216
5,5,28425
5,5,28006
5,5,28076
5,5,27727
5,5,28564
5,5,28145
5,5,27866
5,5,28355
5,5,28146
5,5,27867
5,5,28355
5,5,27657
5,5,27936
5,5,27866
5,5,28216
5,5,28914
5,5,28006
5,5,28215
5,5,28216
5,5,28216
5,5,27866
5,5,27587
5,5,28006
5,5,28215
5,5,27936
5,5,28285
5,5,28914
5,5,28845
5,6,39600
5,6,39460
5,6,40019
5,6,38412
5,6,37993
5,6,37783
5,6,37923
5,6,38622
5,6,37435
5,6,37435
5,6,38551
5,6,38761
5,6,37504
5,6,37225
5,6,37294
5,6,38133
5,6,38203
5,6,38621
5,6,37574
5,6,36945
5,6,37155
5,6,37923
5,6,38132
5,6,37714
5,6,37016
5,6,37015
5,6,37085
5,6,36666
5,6,36387
5,6,36805
5,6,36736
5,6,37364
5,6,37574
5,6,37364
5,6,37854
5,6,38482
5,6,37225
5,6,37295
5,6,37435
5,6,37016
5,6,46164
5,6,37086
5,6,37365
5,6,36248
5,6,37016
5,6,37225
5,6,38063
5,6,37225
5,6,36666
5,6,36666
5,6,36527
5,6,36946
5,6,37923
5,6,37294
5,6,36876
5,6,37435
5,6,37015
5,6,37015
5,6,37504
5,6,38621
5,6,38482
5,6,37155
5,6,37295
5,6,37365
5,6,37016
5,6,37225
5,6,37644
5,6,36805
5,6,37295
5,6,37085
5,6,36876
5,6,36177
5,6,36526
5,6,36806
5,6,36876
5,6,36805
5,6,36946
5,6,36876
5,6,36945
5,6,36946
5,6,38063
5,6,37364
5,6,37225
5,6,37574
5,6,35968
5,6,36666
5,6,37085
5,6,37155
5,6,36108
5,6,37644
5,6,37225
5,6,37644
5,6,37574
5,6,36806
5,6,37854
5,6,36666
