n,m,ns
11,55,4367776
11,55,4400041
11,55,4337885
11,55,4370499
11,55,4421969
11,55,4411423
11,55,4405348
11,55,4391939
11,55,4318610
11,55,4400668
11,55,4279291
11,55,4332228
11,55,4401996
11,55,4401576
11,55,4395640
12,66,9517031
12,66,9390417
12,66,9673677
12,66,9598532
12,66,9652307
12,66,9514168
12,66,9617458
12,66,9635686
12,66,9473732
12,66,9695187
12,66,9483440
12,66,9567175
12,66,9545107
12,66,9527997
12,66,9684712
12,66,9560681
12,66,9570528
12,66,9551950
12,66,9456133
12,66,9688064
12,66,9513191
12,66,9576953
12,66,9431761
12,66,9466121
12,66,9727522
12,66,9505648
12,66,9611801
12,66,9602862
12,66,9485256
12,66,9555722
12,66,9592247
12,66,9455924
12,66,9457810
12,66,9623673
12,66,9523317
12,66,9599859
12,66,9424567
12,66,9547760
12,66,9591060
12,66,9586870
12,66,9669138
12,66,9587987
12,66,9520872
12,66,9696514
12,66,9674794
12,66,9714951
12,66,9654542
12,66,9603560
12,66,9596088
12,66,9498455
12,66,9627166
12,66,9417722
12,66,9647209
12,66,9594342
12,66,9495731
12,66,9443982
12,66,9503693
12,66,9598183
12,66,9739185
12,66,9483929
12,66,9441189
12,66,9548878
12,66,9485674
12,66,9510607
12,66,9654542
12,66,9489167
12,66,9724030
12,66,9504251
12,66,9609077
12,66,9613617
12,66,9452292
12,66,9422821
12,66,9567524
12,66,9567524
12,66,9520384
12,66,9535190
12,66,9387832
12,66,9533862
12,66,9404943
12,66,9579746
12,66,9481205
12,66,9645253
12,66,9667951
12,66,9532815
12,66,9673957
12,66,9604538
12,66,9489655
12,66,9659850
12,66,9558654
12,66,9692673
12,66,9597275
12,66,9521431
12,66,9562496
12,66,9581841
12,66,9593714
12,66,9592596
12,66,9508861
12,66,9674026
12,66,9503064
12,66,9735623
13,78,20867996
13,78,20631596
13,78,20766521
13,78,21157403
13,78,20841387
13,78,21125626
13,78,21061026
13,78,20940626
13,78,20757513
13,78,20659461
13,78,20745152
13,78,21068639
13,78,20825185
13,78,20919117
13,78,20609597
13,78,20842575
13,78,20890972
13,78,21019403
13,78,20724898
13,78,20829026
13,78,20930500
13,78,21106072
13,78,20777625
13,78,20881614
13,78,21022895
13,78,20740891
13,78,20896141
13,78,20936786
13,78,21114522
13,78,20797320
13,78,20921561
13,78,20960949
13,78,20767360
13,78,20993423
13,78,20712397
13,78,21081768
13,78,20922748
13,78,20741869
13,78,20698779
13,78,21108376
13,78,20831890
13,78,21042310
13,78,20690259
13,78,20987488
13,78,20892509
13,78,20932316
13,78,20577332
