n,m,ns
4,6,19345
4,6,19834
4,6,19904
4,6,19554
4,6,19554
4,6,19904
4,6,19694
4,6,20044
4,6,19834
4,6,19974
4,6,19834
4,6,20252
4,6,19973
4,6,19974
4,6,20043
4,6,20044
4,6,19834
4,6,20183
4,6,19764
4,6,19834
4,6,19834
4,6,20113
4,6,19624
4,6,20602
4,6,19485
4,6,20044
4,6,19834
4,6,19484
4,6,19694
4,6,20043
4,6,19764
4,6,20044
4,6,19973
4,6,20114
4,6,19834
4,6,20253
4,6,19973
4,6,19764
4,6,19904
4,6,20043
4,6,19764
4,6,20043
4,6,19554
4,6,19694
4,6,29192
4,6,19904
4,6,19834
4,6,19904
4,6,19624
4,6,19834
4,6,19904
4,6,19973
4,6,19904
4,6,19904
4,6,19694
4,6,19973
4,6,20113
4,6,20323
4,6,19834
4,6,19973
4,6,19415
4,6,19555
4,6,20113
4,6,19624
4,6,20532
4,6,19833
4,6,19555
4,6,19764
4,6,19973
4,6,19834
4,6,19904
4,6,20252
4,6,19834
4,6,20114
4,6,20113
4,6,19624
4,6,19625
4,6,19764
4,6,19764
4,6,19974
4,6,19834
4,6,19694
4,6,19904
4,6,19974
4,6,19973
4,6,19834
4,6,20183
4,6,20113
4,6,20672
4,6,19764
4,6,19764
4,6,19554
4,6,19834
4,6,19694
4,6,19624
4,6,19974
5,0,13269
5,0,12571
5,0,11873
5,0,10476
5,0,10335
5,0,10266
5,0,10336
5,0,10685
5,0,10754
5,0,10476
5,0,10197
5,0,10057
5,0,10686
5,0,10127
5,0,10266
5,0,10266
5,0,10686
5,0,10196
5,0,10615
5,0,10126
5,0,10685
5,0,10126
5,0,10615
5,0,10266
5,0,10196
5,0,10266
5,0,10196
5,0,10895
5,0,10197
5,0,10755
5,0,10196
5,0,10685
5,0,10126
5,0,10615
5,0,10057
5,0,10755
5,0,10196
5,0,10615
5,0,10127
5,0,10616
5,0,9986
5,0,11174
5,0,10266
5,0,10615
5,0,10126
5,0,10965
5,0,11383
5,0,10615
5,0,10056
5,0,10406
5,0,10197
5,0,10755
5,0,10266
5,0,10965
5,0,10057
5,0,10126
5,0,10196
5,0,10685
5,0,10197
5,0,10686
5,0,10196
5,0,10616
5,0,10056
5,0,10615
5,0,10127
5,0,10685
5,0,10196
5,0,10057
5,0,11244
5,0,10755
5,0,10964
5,0,10196
5,0,10197
5,0,10685
5,0,10266
5,0,10196
5,0,10197
5,0,10057
5,0,10476
5,0,10057
5,0,10267
5,0,10056
5,0,10057
5,0,10197
5,0,10406
5,0,10056
5,0,10615
5,0,10196
5,0,10545
5,0,10266
5,0,10127
5,0,10057
5,0,10336
5,0,10126
5,0,10196
5,0,10755
5,0,10685
5,0,10196
5,0,10616
5,0,10196
5,1,14596
5,1,13549
5,1,12920
5,1,12990
5,1,12920
5,1,12641
5,1,12501
5,1,12431
5,1,12641
5,1,12570
5,1,12361
5,1,12711
5,1,12361
5,1,12571
5,1,13060
5,1,12431
5,1,12780
5,1,12571
5,1,12571
5,1,13269
5,1,12431
5,1,12431
5,1,12361
5,1,12990
5,1,12501
5,1,12710
5,1,12710
5,1,12291
5,1,13059
5,1,12292
5,1,12850
5,1,12640
5,1,12291
5,1,12222
5,1,12361
5,1,12361
5,1,12641
5,1,13548
5,1,12501
5,1,12222
5,1,12431
5,1,12361
5,1,12431
5,1,12431
5,1,12361
5,1,12361
5,1,12222
5,1,12291
5,1,12641
5,1,12641
5,1,12292
5,1,12571
5,1,12501
5,1,12570
5,1,12780
5,1,12362
5,1,12850
5,1,12990
5,1,38969
5,1,11314
5,1,10545
5,1,11035
5,1,10545
5,1,10965
5,1,10546
5,1,10895
5,1,10965
5,1,11314
5,1,10685
5,1,11174
5,1,10476
5,1,10545
5,1,10964
5,1,10615
5,1,10964
5,1,10616
5,1,11105
5,1,10545
5,1,11034
5,1,10965
5,1,10545
5,1,10965
5,1,10824
5,1,10825
5,1,10965
5,1,10755
5,1,10755
5,1,10545
5,1,11244
5,1,11035
5,1,10685
5,1,11244
5,1,10825
5,1,10965
5,1,10476
5,1,10685
5,1,10615
5,1,10686
5,1,10545
5,1,10686
5,2,12361
5,2,11663
5,2,11942
5,2,12012
5,2,11663
5,2,11733
5,2,12012
5,2,12361
5,2,11662
5,2,11593
5,2,11524
5,2,11593
5,2,11662
5,2,11523
5,2,11523
5,2,11524
5,2,12152
5,2,12082
5,2,11523
5,2,11802
5,2,11663
5,2,12012
5,2,11732
5,2,11733
5,2,11454
5,2,11663
5,2,11663
5,2,11523
5,2,12361
5,2,11523
5,2,11593
5,2,11593
5,2,11663
5,2,11663
5,2,11803
5,2,12221
5,2,11662
5,2,11593
5,2,11593
5,2,11803
5,2,11523
5,2,11383
5,2,12082
5,2,13059
5,2,11454
5,2,11524
5,2,11733
5,2,12082
5,2,11523
5,2,11524
5,2,11662
5,2,12501
5,2,11593
5,2,11523
5,2,11593
5,2,11523
5,2,11803
5,2,11872
5,2,11593
5,2,11942
5,2,12222
5,2,11593
5,2,12012
5,2,11803
5,2,11942
5,2,11663
5,2,11803
5,2,11593
5,2,11872
5,2,11733
5,2,11523
5,2,11593
5,2,11733
5,2,12152
5,2,11453
5,2,11663
5,2,11663
5,2,11593
5,2,14736
5,2,12361
5,2,11942
5,2,12151
5,2,12012
5,2,11663
5,2,11453
5,2,11453
5,2,12221
5,2,11524
5,2,11523
5,2,11593
5,2,12920
5,2,11803
5,2,11593
5,2,11524
5,2,11523
5,2,11384
5,2,11453
5,2,11524
5,2,12361
5,2,12012
5,3,14316
5,3,14387
5,3,14037
5,3,13897
5,3,13898
5,3,13968
5,3,13758
5,3,13897
5,3,13758
5,3,13828
5,3,13689
5,3,13688
5,3,13548
5,3,13758
5,3,13618
5,3,14247
5,3,14316
5,3,13618
5,3,13688
5,3,14107
5,3,13898
5,3,13898
5,3,14387
5,3,14736
5,3,14317
5,3,13967
5,3,13898
5,3,13758
5,3,13827
5,3,14038
5,3,13758
5,3,13758
5,3,13758
5,3,14177
5,3,14247
5,3,14038
5,3,14107
5,3,13967
5,3,14107
5,3,13898
5,3,13758
5,3,13758
5,3,13897
5,3,13689
5,3,13898
5,3,13758
5,3,13828
5,3,13758
5,3,13758
5,3,13828
5,3,14037
5,3,14386
5,3,14107
5,3,13688
5,3,14037
5,3,13828
5,3,13758
5,3,13898
5,3,13758
5,3,14107
5,3,13967
5,3,13758
5,3,13897
5,3,14038
5,3,13828
5,3,14037
5,3,13968
5,3,13828
5,3,14876
5,3,14177
5,3,13827
5,3,13897
5,3,13758
5,3,13828
5,3,13828
5,3,14038
5,3,13688
5,3,14246
5,3,14037
5,3,14037
5,3,14037
5,3,14386
5,3,14317
5,3,14247
5,3,13618
5,3,13758
5,3,22488
5,3,14247
5,3,13898
5,3,13828
5,3,13758
5,3,14037
5,3,13689
5,3,13758
5,3,13828
5,3,13548
5,3,13479
5,3,13618
5,3,13758
5,3,13688
5,4,16202
5,4,16342
5,4,15993
5,4,15783
5,4,15923
5,4,15923
5,4,15853
5,4,16133
5,4,15923
5,4,15784
5,4,15923
5,4,15853
5,4,15643
5,4,15993
5,4,15783
5,4,15714
5,4,15923
5,4,16342
5,4,16202
5,4,16132
5,4,16203
5,4,16062
5,4,17249
5,4,15713
5,4,15714
5,4,15853
5,4,15783
5,4,15644
5,4,15854
5,4,15923
5,4,15644
5,4,15783
5,4,15783
5,4,17319
5,4,15713
5,4,15714
5,4,15783
5,4,15573
5,4,15783
5,4,15993
5,4,15993
5,4,15713
5,4,15714
5,4,15853
5,4,15784
5,4,15923
5,4,15714
5,4,16063
5,4,15573
5,4,16411
5,4,15714
5,4,15644
5,4,15643
5,4,15923
5,4,15923
5,4,15783
5,4,15853
5,4,15783
5,4,15993
5,4,15923
5,4,15853
5,4,15783
5,4,15784
5,4,15993
5,4,16063
5,4,15923
5,4,15993
5,4,16062
5,4,15923
5,4,15923
5,4,15853
5,4,15644
5,4,16063
5,4,16132
5,4,15713
5,4,15993
5,4,15784
5,4,15993
5,4,16342
5,4,16272
5,4,15783
5,4,15993
5,4,16133
5,4,15713
5,4,15643
5,4,15923
5,4,15784
5,4,15993
5,4,15714
5,4,15853
5,4,16063
5,4,15923
5,4,15714
5,4,15993
5,4,15853
5,4,16063
5,4,15993
5,4,16342
5,4,15923
5,4,15923
5,5,18646
5,5,19624
5,5,17738
5,5,16970
5,5,16901
5,5,16901
5,5,17250
