n,m,p,it,ns
2,1,0.2,2,27308
2,1,0.2,2,27308
2,1,0.2,2,27168
2,1,0.2,2,27238
2,1,0.2,2,27308
2,1,0.2,2,26680
2,1,0.2,2,26470
2,1,0.2,2,26749
2,1,0.2,2,27099
2,1,0.2,2,26889
2,1,0.2,2,26750
2,1,0.2,2,27238
2,1,0.2,2,27308
2,1,0.2,2,27168
2,1,0.2,2,27098
2,1,0.2,2,27238
2,1,0.2,2,27028
2,1,0.2,2,27238
2,1,0.2,2,27098
2,1,0.2,2,27169
2,1,0.2,2,26470
2,1,0.2,2,26958
2,1,0.2,2,27098
2,1,0.2,2,26888
2,1,0.2,2,35689
2,1,0.2,2,27378
2,1,0.2,2,27168
2,1,0.2,2,26540
2,1,0.2,2,26610
2,1,0.2,2,27098
2,1,0.2,2,27168
2,1,0.2,2,27028
2,1,0.2,2,27238
2,1,0.2,2,27657
2,1,0.2,2,27168
2,1,0.2,2,27238
2,1,0.2,2,27098
2,1,0.2,2,26400
2,1,0.2,2,27028
2,1,0.2,2,26609
2,1,0.2,2,27028
2,1,0.2,2,27238
2,1,0.2,2,27168
2,1,0.2,2,27098
2,1,0.2,2,27238
2,1,0.2,2,27029
2,1,0.2,2,27238
2,1,0.2,2,26959
2,1,0.2,2,26679
2,1,0.2,2,27168
2,1,0.2,2,27028
2,1,0.2,2,27587
2,1,0.2,2,27238
2,1,0.2,2,26749
2,1,0.2,2,26819
2,1,0.2,2,27029
2,1,0.2,2,26959
2,1,0.2,2,26260
2,1,0.2,2,27238
2,1,0.2,3,39740
2,1,0.2,3,37784
2,1,0.2,3,39250
2,1,0.2,3,38203
2,1,0.2,3,39390
2,1,0.2,3,39181
2,1,0.2,3,38692
2,1,0.2,3,39181
2,1,0.2,3,39530
2,1,0.2,3,38902
2,1,0.2,3,39670
2,1,0.2,3,39739
2,1,0.2,3,39810
2,1,0.2,3,40019
2,1,0.2,3,39530
2,1,0.2,3,39740
2,1,0.2,3,39669
2,1,0.2,3,39739
2,1,0.2,3,39181
2,1,0.2,3,38832
2,1,0.2,3,40089
2,1,0.2,3,40019
2,1,0.2,3,39531
2,1,0.2,3,39531
2,1,0.2,3,39251
2,1,0.2,3,39740
2,1,0.2,3,39600
2,1,0.2,3,39530
2,1,0.2,3,39809
2,1,0.2,3,39320
2,1,0.2,3,39530
2,1,0.2,3,38692
2,1,0.2,3,39460
2,1,0.2,3,39250
2,1,0.2,3,38901
2,1,0.2,3,39530
2,1,0.2,3,39670
2,1,0.2,3,39949
2,1,0.2,3,39460
2,1,0.2,3,39740
2,1,0.2,3,38203
2,1,0.2,3,38971
2,1,0.2,3,39320
2,1,0.2,3,38343
2,1,0.2,3,39810
2,1,0.2,3,39461
2,1,0.2,3,39879
2,1,0.2,3,39809
2,1,0.2,3,39321
2,1,0.2,3,39740
2,1,0.2,3,39460
2,1,0.2,3,39391
2,1,0.2,3,39670
2,1,0.2,3,39461
2,1,0.2,3,39600
2,1,0.2,3,38971
2,1,0.2,3,39390
2,1,0.2,3,39739
2,1,0.2,3,39669
2,1,0.2,3,39181
2,1,0.2,3,39530
2,1,0.2,3,39111
2,1,0.2,3,39810
2,1,0.2,3,39041
2,1,0.2,3,38482
2,1,0.2,3,39460
2,1,0.2,3,39600
2,1,0.2,3,37994
2,1,0.2,3,39739
2,1,0.2,3,39739
2,1,0.2,3,47701
2,1,0.2,3,39390
2,1,0.2,3,39599
2,1,0.2,3,39600
2,1,0.2,3,39670
2,1,0.2,3,39111
2,1,0.2,3,39949
2,1,0.2,3,39740
2,1,0.2,3,38552
2,1,0.2,3,39600
2,1,0.2,3,39809
2,1,0.2,3,39739
2,1,0.2,3,39250
2,1,0.2,3,39879
2,1,0.2,3,39600
2,1,0.2,3,39740
2,1,0.2,3,40089
2,1,0.2,3,39669
2,1,0.2,3,40508
2,1,0.2,3,39740
2,1,0.2,3,38972
2,1,0.2,3,39879
2,1,0.2,3,39879
2,1,0.2,3,38901
2,1,0.2,3,39250
2,1,0.2,3,39530
2,1,0.2,3,39879
2,1,0.2,3,39600
2,1,0.2,3,39740
2,1,0.2,3,39321
2,1,0.2,4,51961
2,1,0.2,4,50774
2,1,0.2,4,52241
2,1,0.2,4,50145
2,1,0.2,4,51403
2,1,0.2,4,52101
2,1,0.2,4,52241
2,1,0.2,4,51822
2,1,0.2,4,51263
2,1,0.2,4,52380
2,1,0.2,4,50006
2,1,0.2,4,51543
2,1,0.2,4,52171
2,1,0.2,4,51961
2,1,0.2,4,52521
2,1,0.2,4,52171
2,1,0.2,4,51403
2,1,0.2,4,51822
2,1,0.2,4,52031
2,1,0.2,4,52031
2,1,0.2,4,51264
2,1,0.2,4,51333
2,1,0.2,4,51403
2,1,0.2,4,52102
2,1,0.2,4,51333
2,1,0.2,4,51333
2,1,0.2,4,52031
2,1,0.2,4,52032
2,1,0.2,4,52032
2,1,0.2,4,51962
2,1,0.2,4,51892
2,1,0.2,4,52241
2,1,0.2,4,52101
2,1,0.2,4,52032
2,1,0.2,4,52101
2,1,0.2,4,52171
2,1,0.2,4,51822
2,1,0.2,4,52380
2,1,0.2,4,52171
2,1,0.2,4,51612
2,1,0.2,4,51752
2,1,0.2,4,51962
2,1,0.2,4,51822
2,1,0.2,4,52102
2,1,0.2,4,52172
2,1,0.2,4,51054
2,1,0.2,4,51962
2,1,0.2,4,52031
2,1,0.2,4,52311
2,1,0.2,4,52031
2,1,0.2,4,63834
2,1,0.2,4,50077
2,1,0.2,4,49936
2,1,0.2,4,50146
2,1,0.2,4,49936
2,1,0.2,4,50146
2,1,0.2,4,48400
2,1,0.2,4,49727
2,1,0.2,4,49797
2,1,0.2,4,50215
2,1,0.2,4,49587
2,1,0.2,4,49936
2,1,0.2,4,50146
2,1,0.2,4,49936
2,1,0.2,4,49866
2,1,0.2,4,49517
2,1,0.2,4,50146
2,1,0.2,4,49797
2,1,0.2,4,49796
2,1,0.2,4,49727
2,1,0.2,4,49588
2,1,0.2,4,50006
2,1,0.2,4,50216
2,1,0.2,4,49657
2,1,0.2,4,50146
2,1,0.2,4,49098
2,1,0.2,4,50634
2,1,0.2,4,49447
2,1,0.2,4,50425
2,1,0.2,4,49517
2,1,0.2,4,50077
2,1,0.2,4,49867
2,1,0.2,4,50076
2,1,0.2,4,48749
2,1,0.2,4,49657
2,1,0.2,4,50146
2,1,0.2,4,49936
2,1,0.2,4,50286
2,1,0.2,4,50007
2,1,0.2,4,49587
2,1,0.2,4,49727
2,1,0.2,4,50146
2,1,0.2,4,49657
2,1,0.2,4,49936
2,1,0.2,4,48958
2,1,0.2,4,49587
2,1,0.2,4,49936
2,1,0.2,4,49308
2,1,0.2,4,50006
2,1,0.2,4,49308
2,1,0.2,5,62368
2,1,0.2,5,61251
2,1,0.2,5,60203
2,1,0.2,5,60133
2,1,0.2,5,59923
2,1,0.2,5,61600
2,1,0.2,5,61949
2,1,0.2,5,60971
2,1,0.2,5,61320
2,1,0.2,5,61809
2,1,0.2,5,61949
2,1,0.2,5,62158
2,1,0.2,5,61879
2,1,0.2,5,61949
2,1,0.2,5,61042
2,1,0.2,5,61949
2,1,0.2,5,61669
2,1,0.2,5,62019
2,1,0.2,5,61461
2,1,0.2,5,62089
2,1,0.2,5,67607
2,1,0.2,5,84368
2,1,0.2,5,61879
2,1,0.2,5,62019
2,1,0.2,5,61041
2,1,0.2,5,61810
2,1,0.2,5,61111
2,1,0.2,5,61949
2,1,0.2,5,62089
2,1,0.2,5,61949
2,1,0.2,5,61809
2,1,0.2,5,61320
2,1,0.2,5,61879
2,1,0.2,5,61111
2,1,0.2,5,62159
2,1,0.2,5,61879
2,1,0.2,5,61461
2,1,0.2,5,61949
2,1,0.2,5,61041
2,1,0.2,5,61041
2,1,0.2,5,61600
2,1,0.2,5,62019
2,1,0.2,5,61600
2,1,0.2,5,62158
2,1,0.2,5,61460
2,1,0.2,5,60831
2,1,0.2,5,62298
2,1,0.2,5,61530
2,1,0.2,5,61320
2,1,0.2,5,62158
2,1,0.2,5,61949
2,1,0.2,5,61111
2,1,0.2,5,62089
2,1,0.2,5,61949
2,1,0.2,5,62019
2,1,0.2,5,61739
2,1,0.2,5,61949
2,1,0.2,5,62158
2,1,0.2,5,61320
2,1,0.2,5,61460
2,1,0.2,5,61530
2,1,0.2,5,62089
2,1,0.2,5,61949
2,1,0.2,5,62159
2,1,0.2,5,61460
